Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
LOS SANTOS,SALAMANCA,,SALAMANCA,263167.61,4491891.09,580,SALAMANCA,LINARES DE RIOFRÍO,11456.77932859402
MACOTERA,SALAMANCA,,SALAMANCA,307290.52,4522488.17,1001,ÁVILA,MUÑANA,35115.2100101495
MANCERA DE ABAJO,SALAMANCA,,SALAMANCA,314551.55,4523280.17,197,ÁVILA,MUÑANA,31728.914720500696
MARTIAGO,SALAMANCA,,SALAMANCA,203976.1,4483943.86,250,SALAMANCA,LINARES DE RIOFRÍO,50429.273160830766
MASUECO,SALAMANCA,,SALAMANCA,199027.78,4567559.66,251,ZAMORA,FONFRÍA,61002.08136716619
MIRANDA DE AZÁN,SALAMANCA,,SALAMANCA,274056.38,4529622.23,447,SALAMANCA,LINARES DE RIOFRÍO,39210.34761935734
MONLERAS,SALAMANCA,,SALAMANCA,229444.05,4564498.96,245,ZAMORA,FONFRÍA,50411.698670309466
MORASVERDES,SALAMANCA,,SALAMANCA,222883.84,4499687.83,229,SALAMANCA,LINARES DE RIOFRÍO,30032.310322064834
MORILLE,SALAMANCA,,SALAMANCA,272435.43,4520833.19,224,SALAMANCA,LINARES DE RIOFRÍO,31136.960609098125
MORÍÑIGO,SALAMANCA,,SALAMANCA,296899.49,4538254.35,88,ÁVILA,MUÑANA,53932.99045677314
NAVA DE FRANCIA,SALAMANCA,,SALAMANCA,236084.82,4491869.04,120,SALAMANCA,LINARES DE RIOFRÍO,17365.890656850795
NAVA DE SOTROBAL,SALAMANCA,,SALAMANCA,307365.51,4529055.24,160,ÁVILA,MUÑANA,40372.55087429733
NAVALMORAL DE BÉJAR,SALAMANCA,,SALAMANCA,263939.66,4478371.14,56,SALAMANCA,LINARES DE RIOFRÍO,21461.631035131155
NAVARREDONDA DE LA RINCONADA,SALAMANCA,,SALAMANCA,245113.7,4499412.0,151,SALAMANCA,LINARES DE RIOFRÍO,8120.936772571307
NAVASFRÍAS,SALAMANCA,,SALAMANCA,175413.89,4467515.09,362,SALAMANCA,LINARES DE RIOFRÍO,82673.58158610582
PAJARES DE LA LAGUNA,SALAMANCA,,SALAMANCA,289251.5,4551551.41,114,SALAMANCA,LINARES DE RIOFRÍO,65881.43731185011
PELABRAVO,SALAMANCA,,SALAMANCA,282904.4,4534848.27,1366,SALAMANCA,LINARES DE RIOFRÍO,48620.485072405245
PEÑACABALLERA,SALAMANCA,,SALAMANCA,257037.73,4469915.25,153,SALAMANCA,LINARES DE RIOFRÍO,27118.25449738405
PERALEJOS DE ARRIBA,SALAMANCA,,SALAMANCA,219645.22,4544618.76,35,SALAMANCA,LINARES DE RIOFRÍO,58255.57284790612
PEROMINGO,SALAMANCA,,SALAMANCA,264953.64,4482851.12,122,SALAMANCA,LINARES DE RIOFRÍO,18443.884606158543
PUENTE DEL CONGOSTO,SALAMANCA,,SALAMANCA,285860.66,4485373.12,225,SALAMANCA,LINARES DE RIOFRÍO,34977.12016339955
RETORTILLO,SALAMANCA,,SALAMANCA,216576.54,4522242.73,174,SALAMANCA,LINARES DE RIOFRÍO,44299.082823426856
SAN MIGUEL DEL ROBLEDO,SALAMANCA,,SALAMANCA,242136.78,4491752.07,43,SALAMANCA,LINARES DE RIOFRÍO,11722.94332046331
