Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
LA BASTIDA,SALAMANCA,,SALAMANCA,241147.74,4497204.01,26,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,28392.614663149852
LA CALZADA DE BÉJAR,SALAMANCA,,SALAMANCA,261065.68,4477070.17,85,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,47360.76297618638
LA HOYA,SALAMANCA,,SALAMANCA,270927.66,4476417.13,30,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,50832.2911331499
LA MAYA,SALAMANCA,,SALAMANCA,279151.52,4507295.15,158,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,31790.892351881048
LA PEÑA,SALAMANCA,,SALAMANCA,204813.86,4564070.68,70,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,62074.893322814314
LA REDONDA,SALAMANCA,,SALAMANCA,184188.33,4535350.17,65,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,68650.4570485951
LA RINCONADA DE LA SIERRA,SALAMANCA,,SALAMANCA,244519.7,4499958.99,100,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,24661.63872105196
LA SAGRADA,SALAMANCA,,SALAMANCA,240607.58,4514836.9,82,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,14173.495550131374
LA VELLÉS,SALAMANCA,,SALAMANCA,284236.45,4550091.39,540,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,41922.86165795678
LAS CASAS DEL CONDE,SALAMANCA,,SALAMANCA,242320.79,4488573.12,63,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,36210.731498229805
LEDESMA,SALAMANCA,,SALAMANCA,248017.23,4552847.19,1517,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,29573.593213882956
LEDRADA,SALAMANCA,,SALAMANCA,269447.63,4483324.11,465,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,43892.86947840358
LOS SANTOS,SALAMANCA,,SALAMANCA,263167.61,4491891.09,580,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,33603.9288360306
MACOTERA,SALAMANCA,,SALAMANCA,307290.52,4522488.17,1001,ÁVILA,MUÑOGALINDO,41086.88199594719
MANCERA DE ABAJO,SALAMANCA,,SALAMANCA,314551.55,4523280.17,197,ÁVILA,MUÑOGALINDO,36334.80080191153
MARTIAGO,SALAMANCA,,SALAMANCA,203976.1,4483943.86,250,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,62083.26916050067
MASUECO,SALAMANCA,,SALAMANCA,199027.78,4567559.66,251,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,68744.32761000149
MIRANDA DE AZÁN,SALAMANCA,,SALAMANCA,274056.38,4529622.23,447,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,23067.27074225526
MONLERAS,SALAMANCA,,SALAMANCA,229444.05,4564498.96,245,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,46687.67736709225
MORASVERDES,SALAMANCA,,SALAMANCA,222883.84,4499687.83,229,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,37479.10142984883
MORILLE,SALAMANCA,,SALAMANCA,272435.43,4520833.19,224,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,20798.008756998766
MORÍÑIGO,SALAMANCA,,SALAMANCA,296899.49,4538254.35,88,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,47435.137441826686
NAVA DE FRANCIA,SALAMANCA,,SALAMANCA,236084.82,4491869.04,120,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,35340.9570570181
NAVA DE SOTROBAL,SALAMANCA,,SALAMANCA,307365.51,4529055.24,160,ÁVILA,MUÑOGALINDO,45470.24601802047
NAVALMORAL DE BÉJAR,SALAMANCA,,SALAMANCA,263939.66,4478371.14,56,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,46747.542055471
NAVARREDONDA DE LA RINCONADA,SALAMANCA,,SALAMANCA,245113.7,4499412.0,151,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,25019.171791000594
NAVASFRÍAS,SALAMANCA,,SALAMANCA,175413.89,4467515.09,362,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,94725.45367782946
